UniqueDBIdentifier	Identifier	PosNeg	m/z	Retention time (min)	MultipleRetentionTimes	KEGG ID	HMDB	PubChem	Identity	Formula	Note	Conflict_flag_old	Conflict_1_old	Conflict_2_old
Kim's std_810.133049_4.07_Pos	Kim's std	Pos	810.133049	4.07		C00024	HMDB0001206	444493	Acetyl-CoA	C23H38N7O17P3S				
1D4_134.047219_2.49_Neg	1D4	Neg	134.047219	2.49		C00147	HMDB0000034	190	Adenine	C5H5N5				
1D4_136.061771_2.51_Pos	1D4	Pos	136.061771	2.51		C00147	HMDB0000034	190	Adenine	C5H5N5				
4B9_266.089478_2.32_Neg	4B9	Neg	266.089478	2.32		C00212	HMDB0000050	60961	Adenosine	C10H13N5O4				
4B9_268.10403_2.32_Pos	4B9	Pos	268.10403	2.32		C00212	HMDB0000050	60961	Adenosine	C10H13N5O4				
3A3_328.045244_2.34_Neg	3A3	Neg	328.045244	2.34		C02353	HMDB0011616	2024	"Adenosine 2',3'-cyclic monophosphate"	C10H12N5O6P		1	KEGG ID	HMDB; Identity; PubChem
3A3_330.059796_2.43_Pos	3A3	Pos	330.059796	2.43		C02353	HMDB0011616	2024	"Adenosine 2',3'-cyclic monophosphate"	C10H12N5O6P		1	KEGG ID	HMDB; Identity; PubChem
3C5_328.045244_2.76_Neg	3C5	Neg	328.045244	2.76		C00575	HMDB0000058	7059571	"Adenosine 3',5'-cyclic monophosphate"	C10H12N5O6P		1	KEGG ID	HMDB; Identity; PubChem
3C5_330.059796_2.77_Pos	3C5	Pos	330.059796	2.77		C00575	HMDB0000058	7059571	"Adenosine 3',5'-cyclic monophosphate"	C10H12N5O6P		1	KEGG ID	HMDB; Identity; PubChem
3C8_426.022138_6.39_Neg	3C8	Neg	426.022138	6.39		C00054	HMDB0000061	159296	"Adenosine 3',5'-diphosphate"	C10H15N5O10P2		1	KEGG ID; PubChem	HMDB; Identity
3C8_428.036692_6.35_Pos	3C8	Pos	428.036692	6.35		C00054	HMDB0000061	159296	"Adenosine 3',5'-diphosphate"	C10H15N5O10P2		1	KEGG ID; PubChem	HMDB; Identity
2C2_426.02214_5.54_Neg	2C2	Neg	426.02214	5.54		C00008	HMDB0001341	6022	Adenosine 5'-diphosphate	C10H15N5O10P2		1	KEGG ID; PubChem	HMDB; Identity
2C2_428.036692_5.61_Pos	2C2	Pos	428.036692	5.61		C00008	HMDB0001341	6022	Adenosine 5'-diphosphate	C10H15N5O10P2		1	KEGG ID; PubChem	HMDB; Identity
4E6._558.064399_5.27_Neg	4E6.	Neg	558.064399	5.27		C00301	HMDB0001178	447048	Adenosine 5'-diphosphoribose	C15H23N5O14P2				
4E6._560.078951_5.36_Pos	4E6.	Pos	560.078951	5.36		C00301	HMDB0001178	447048	Adenosine 5'-diphosphoribose	C15H23N5O14P2				
2H11_346.055809_4.66_Neg	2H11	Neg	346.055809	4.66		C00020	HMDB0000045	6083	Adenosine 5'-monophosphate	C10H14N5O7P				
2H11_348.070361_4.78_Pos	2H11	Pos	348.070361	4.78		C00020	HMDB0000045	6083	Adenosine 5'-monophosphate	C10H14N5O7P				
3D5_505.988471_6.44_Neg	3D5	Neg	505.988471	6.44		C00002	HMDB0000538	5957	Adenosine 5'-triphosphate	C10H16N5O13P3				
3D5_508.003023_6.36_Pos	3D5	Pos	508.003023	6.36		C00002	HMDB0000538	5957	Adenosine 5'-triphosphate	C10H16N5O13P3				
3C6_588.074963_5.31_Neg	3C6	Neg	588.074963	5.31		C00498	HMDB0006557	92043151	Adenosine-5'-diphosphoglucose	C16H25N5O15P2				
3C6_590.089515_5.42_Pos	3C6	Pos	590.089515	5.42		C00498	HMDB0006557	92043151	Adenosine-5'-diphosphoglucose	C16H25N5O15P2				
6B11_145.050632_4.5_Neg	6B11	Neg	145.050632	4.5		C06104	HMDB0000448	196	Adipic acid	C6H10O4				
6B11_147.065185_4.5_Pos	6B11	Pos	147.065185	4.5		C06104	HMDB0000448	196	Adipic acid	C6H10O4				
_331.264254_0.97_Neg		Neg	331.264254	0.97		C16527	HMDB0002226	5497181	Adrentic acid	C22H36O2				
2B5_157.036714_4.42_Neg	2B5	Neg	157.036714	4.42		C01551	HMDB0000462	204	Allantoin	C4H6N4O3				
2B5_159.051266_4.5_Pos	2B5	Pos	159.051266	4.5		C01551	HMDB0000462	204	Allantoin	C4H6N4O3				
6G5_181.070665_1.52_Pos	6G5	Pos	181.070665	1.52					Allose	C6H12O6				
2A2_160.061532_5.12_Neg	2A2	Neg	160.061532	5.12		C00956	HMDB0000510	469	Alpha-Aminoadipate	C6H11NO4				
2A2_162.076084_5.26_Pos	2A2	Pos	162.076084	5.26		C00956	HMDB0000510	469	Alpha-Aminoadipate	C6H11NO4				
3B7_259.022443_5.89_Neg	3B7	Neg	259.022443	5.89		C00446	HMDB0000645	123912	Alpha-D-Galactose 1-phosphate	C6H13O9P				
3B7_261.036995_6.02_Pos	3B7	Pos	261.036995	6.02		C00446	HMDB0000645	123912	Alpha-D-Galactose 1-phosphate	C6H13O9P				
6G4_179.056111_4.79_Neg	6G4	Neg	179.056111	4.79		C00031	HMDB0003345	79025	Alpha-D-Glucose	C6H12O6				
6G4_181.070665_4.79_Pos	6G4	Pos	181.070665	4.79		C00031	HMDB0003345	79025	Alpha-D-Glucose	C6H12O6				
4H2_259.022443_5.67_Neg	4H2	Neg	259.022443	5.67		C00103	HMDB0001586	65533	Alpha-D-Glucose 1-phosphate	C6H13O9P				
4H2_261.036995_5.81_Pos	4H2	Pos	261.036995	5.81		C00103	HMDB0001586	65533	Alpha-D-Glucose 1-phosphate	C6H13O9P				
6A6_145.014247_5.62_Neg	6A6	Neg	145.014247	5.62		C00026	HMDB0000208	51	Alpha-Ketoglutaric acid	C5H6O5				
Internal Std_149.027666_5.62_Neg	Internal Std	Neg	149.027666	5.62					"Alpha-Ketoglutaric acid (1,2,3,4-13C4)"	[13]C4CH6O5				
Internal Std_151.042219_5.62_Pos	Internal Std	Pos	151.042219	5.62					"Alpha-Ketoglutaric acid (1,2,3,4-13C4)"	[13]C4CH6O5				
4A11_172.007388_2.29_Neg	4A11	Neg	172.007388	2.29				6926	Aniline-2-Sulfonic acid	C6H7NO3S				
4A11_174.02194_2.35_Pos	4A11	Pos	174.02194	2.35				6926	Aniline-2-Sulfonic acid	C6H7NO3S				
5H8_136.040403_2.19_Neg	5H8	Neg	136.040403	2.19		C00108	HMDB0001123	5459842	Anthranilate	C7H7NO2				
5H8_138.054955_2.19_Pos	5H8	Pos	138.054955	2.19		C00108	HMDB0001123	5459842	Anthranilate	C7H7NO2				
6F12_149.045547_4.24_Neg	6F12	Neg	149.045547	4.24		C00259	HMDB0000646	439195	Arabinose	C5H10O5	"corrected HDBM typo, tabs, quotes, etc."	1	HMDB	Identity; KEGG ID; PubChem
7C6_311.295554_0.97_Neg	7C6	Neg	311.295554	0.97		C06425	HMDB0002212	10467	Arachidic acid	C20H40O2				
_303.232954_0.99_Neg		Neg	303.232954	0.99		C00219	HMDB0001043	444899	Arachidonic acid	C20H32O2				
6A10_187.097582_3.24_Neg	6A10	Neg	187.097582	3.24		C08261	HMDB0000784	2266	Azelaic acid	C9H16O4				
Flores_784.149857_3.55_Neg	Flores	Neg	784.149857	3.55					Bavin Adenine Dinucleotide	C27H33N9O15P2				
Flores_786.164411_3.49_Pos	Flores	Pos	786.164411	3.49					Bavin Adenine Dinucleotide	C27H33N9O15P2				
5E2._121.029503_1.46_Neg	5E2.	Neg	121.029503	1.46		C00180	HMDB0001870	517055	Benzoate	C7H6O2				
5C10_88.040403_5.26_Neg	5C10	Neg	88.040403	5.26		C00099	HMDB0000056	239	Beta-Alanine	C3H7NO2				
5C10_90.054955_5.26_Pos	5C10	Pos	90.054955	5.26		C00099	HMDB0000056	239	Beta-Alanine	C3H7NO2				
2B1_116.071703_3.21_Neg	2B1	Neg	116.071703	3.21		C00719	HMDB0000043	247	Betaine	C5H11NO2				
2B1_118.086255_3.23_Pos	2B1	Pos	118.086255	3.23		C00719	HMDB0000043	247	Betaine	C5H11NO2				
2G5_742.068178_6.4_Neg	2G5	Neg	742.068178	6.4		C00006	HMDB0000217	5886	Beta-Nicotinamide Adenine Dinucleotide Phosphate	C21H28N7O17P3				
2G5_744.082728_6.36_Pos	2G5	Pos	744.082728	6.36		C00006	HMDB0000217	5886	Beta-Nicotinamide Adenine Dinucleotide Phosphate	C21H28N7O17P3				
6E4._243.080886_2.21_Neg	6E4.	Neg	243.080886	2.21		C00120	HMDB0000030	171548	Biotin	C10H16N2O3S				
6E4._245.09544_2.18_Pos	6E4.	Pos	245.09544	2.18		C00120	HMDB0000030	171548	Biotin	C10H16N2O3S				
7D5_389.269733_1.08_Neg	7D5	Neg	389.269733	1.08		C03690		8343	Bis(2-ethylhexyl)phthalate	C24H38O4				
7D5_391.284286_0.99_Pos	7D5	Pos	391.284286	0.99		C03690		8343	Bis(2-ethylhexyl)phthalate	C24H38O4				
2A8_132.149524_6.54_Pos	2A8	Pos	132.149524	6.54		C03375	HMDB0011634	5942	Bis(3-aminopropyl)amine	C6H17N3				
5B8_73.064791_1.13_Pos	5B8	Pos	73.064791	1.13		C01412	HMDB0003543	261	Butanal	C4H8O				
5H10_87.045154_4.42_Neg	5H10	Neg	87.045154	4.42		C00246	HMDB0000039	104775	Butanoate	C4H8O2				
_232.154335_2.4_Pos		Pos	232.154335	2.4			HMDB0002013	213144	Butyryl-L-Carnitine	C11H21NO4				
4F6_101.108422_4.05_Neg	4F6	Neg	101.108422	4.05		C01672	HMDB0002322	273	Cadaverine	C5H14N2				
5C8_179.034983_3.44_Neg	5C8	Neg	179.034983	3.44		C01481	HMDB0001964	1549111	Caffeate	C9H8O4				
5C8_181.049535_3.58_Pos	5C8	Pos	181.049535	3.58		C01481	HMDB0001964	1549111	Caffeate	C9H8O4				
2C10_195.087652_1.36_Pos	2C10	Pos	195.087652	1.36		C07481	HMDB0001847	2519	Caffeine	C8H10N4O2				
7A6_143.107753_1.11_Neg	7A6	Neg	143.107753	1.11		C06423	HMDB0000482	379	Caprylic acid	C8H16O2				
7A6_145.122306_1.16_Pos	7A6	Pos	145.122306	1.16		C06423	HMDB0000482	379	Caprylic acid	C8H16O2				
1E10._225.099314_5.28_Neg	1E10.	Neg	225.099314	5.28		C00386	HMDB0000033	439224	Carnosine	C9H14N4O3				
1E10._227.113866_5.3_Pos	1E10.	Pos	227.113866	5.3		C00386	HMDB0000033	439224	Carnosine	C9H14N4O3				
4F11_445.053106_5.76_Neg	4F11	Neg	445.053106	5.76		C00570	HMDB0001564	123727	CDP-ethanolamine	C11H20N4O11P2				
4F11_447.067658_5.86_Pos	4F11	Pos	447.067658	5.86		C00570	HMDB0001564	123727	CDP-ethanolamine	C11H20N4O11P2				
7B5_391.285383_1.13_Neg	7B5	Neg	391.285383	1.13		C02528	HMDB0000518	10133	Chenodeoxycholic acid	C24H40O4				
7E2._355.263157_1.25_Pos	7E2.	Pos	355.263157	1.25		C00695	HMDB0000619	221493	Cholate	C24H40O5	3 water loss			
7E2._373.273722_1.25_Pos	7E2.	Pos	373.273722	1.25		C00695	HMDB0000619	221493	Cholate	C24H40O5	2 water loss			
7E2._391.284286_1.25_Pos	7E2.	Pos	391.284286	1.25		C00695	HMDB0000619	221493	Cholate	C24H40O5	water loss			
7E2._407.280298_1.19_Neg	7E2.	Neg	407.280298	1.19	1	C00695	HMDB0000619	221493	Cholate	C24H40O5				
7E2._407.280298_2.06_Neg	7E2.	Neg	407.280298	2.06	1	C00695	HMDB0000619	221493	Cholate	C24H40O5				
4D5_104.106991_7_Pos	4D5	Pos	104.106991	7		C00114	HMDB0000097	305	Choline	C5H13NO				
7C10_301.217304_1_Neg	7C10	Neg	301.217304	1		C06428	HMDB0001999	446284	"Cis-5,8,11,14,17-eicosapentaenoic acid"	C20H30O2		1	HMDB; PubChem	Identity
7C10_303.231857_1.04_Pos	7C10	Pos	303.231857	1.04		C06428	HMDB0001999	446284	"Cis-5,8,11,14,17-eicosapentaenoic acid"	C20H30O2		1	HMDB; PubChem	Identity
6C9_129.019332_3.09_Neg	6C9	Neg	129.019332	3.09		C02226	HMDB0000634	643798	Citraconic acid	C5H6O4				
4E8._147.029897_5.21_Neg	4E8.	Neg	147.029897	5.21		C02614	HMDB0000426	1081	Citramalate	C5H8O5				
1A5_191.019727_7.16_Neg	1A5	Neg	191.019727	7.16		C00158	HMDB0000094	311	Citrate	C6H8O7				
Internal Std_195.044833_7.16_Neg	Internal Std	Neg	195.044833	7.16					"Citric acid (2,2,4,4-D4)"	C6H4D4O7				
Internal Std_197.059386_7.16_Pos	Internal Std	Pos	197.059386	7.16					"Citric acid (2,2,4,4-D4)"	C6H4D4O7				
1B4_174.088415_5.42_Neg	1B4	Neg	174.088415	5.42		C00327	HMDB0000904	9750	Citrulline	C6H13N3O3				
1B4_176.102967_5.42_Pos	1B4	Pos	176.102967	5.42		C00327	HMDB0000904	9750	Citrulline	C6H13N3O3				
4F8_766.107934_7.03_Neg	4F8	Neg	766.107934	7.03		C00010	HMDB0001423	87642	Coenzyme A	C21H36N7O16P3S				
7G4_345.207133_1.2_Neg	7G4	Neg	345.207133	1.2		C02140	HMDB0001547	5753	Corticosterone	C21H30O4				
7G4_347.221686_1.24_Pos	7G4	Pos	347.221686	1.24		C02140	HMDB0001547	5753	Corticosterone	C21H30O4				
5A7_361.202048_1.3_Neg	5A7	Neg	361.202048	1.3		C00735	HMDB0000063	5754	Cortisol	C21H30O5				
5A7_363.216601_1.32_Pos	5A7	Pos	363.216601	1.32		C00735	HMDB0000063	5754	Cortisol	C21H30O5				
5F11_403.212613_1.2_Neg	5F11	Neg	403.212613	1.2		C02821		5744	Cortisol 21-acetate	C23H32O6				
5F11_405.227165_1.14_Pos	5F11	Pos	405.227165	1.14		C02821		5744	Cortisol 21-acetate	C23H32O6				
7G2_359.186397_1.2_Neg	7G2	Neg	359.186397	1.2		C00762	HMDB0002802	222786	Cortisone	C21H28O5		1	KEGG ID	Formula; HMDB; Identity; PubChem
7G2_361.200951_1.21_Pos	7G2	Pos	361.200951	1.21		C00762	HMDB0002802	222786	Cortisone	C21H28O5		1	KEGG ID	Formula; HMDB; Identity; PubChem
Internal Std_366.230335_1.27_Neg	Internal Std	Neg	366.230335	1.27					Cortisone (D7)	C21H21D7O5		1	Identity	Formula
Internal Std_368.244888_1.27_Pos	Internal Std	Pos	368.244888	1.27					Cortisone (D7)	C21H21D7O5	different between 2020 and 2021	1	Identity	Formula
1F8_130.062201_4.76_Neg	1F8	Neg	130.062201	4.76		C00300	HMDB0000064	586	Creatine	C4H9N3O2				
1F8_132.076753_4.76_Pos	1F8	Pos	132.076753	4.76		C00300	HMDB0000064	586	Creatine	C4H9N3O2				
1H8_112.051636_2.73_Neg	1H8	Neg	112.051636	2.73		C00791	HMDB0000562	588	Creatinine	C4H7N3O				
1H8_114.066188_2.73_Pos	1H8	Pos	114.066188	2.73		C00791	HMDB0000562	588	Creatinine	C4H7N3O				
Internal Std_115.070465_2.73_Neg	Internal Std	Neg	115.070465	2.73					Creatinine (D3)	C4H4D3N3O				
Internal Std_117.085019_2.79_Pos	Internal Std	Pos	117.085019	2.79					Creatinine (D3)	C4H4D3N3O				
David Koomen's std_540.053832_5.19_Neg	David Koomen's std	Neg	540.053832	5.19		C13050		123847	Cyclic ADP-ribose	C15H21N5O13P2				
David Koomen's std_542.068385_5.15_Pos	David Koomen's std	Pos	542.068385	5.15		C13050		123847	Cyclic ADP-ribose	C15H21N5O13P2				
1B1_242.078245_3.56_Neg	1B1	Neg	242.078245	3.56		C00475	HMDB0000089	6175	Cytidine	C9H13N3O5				
1B1_244.092797_3.56_Pos	1B1	Pos	244.092797	3.56		C00475	HMDB0000089	6175	Cytidine	C9H13N3O5				
3B3_304.034011_4.02_Neg	3B3	Neg	304.034011	4.02		C00941	HMDB0011691	23421172	"Cytidine 2',3'-cyclic monophosphate"	C9H12N3O7P				
3B3_306.048563_4.09_Pos	3B3	Pos	306.048563	4.09		C00941	HMDB0011691	23421172	"Cytidine 2',3'-cyclic monophosphate"	C9H12N3O7P				
3F8_402.010906_6.49_Neg	3F8	Neg	402.010906	6.49		C00112	HMDB0001546	6132	Cytidine 5'-diphosphate	C9H15N3O11P2				
3F8_404.025458_6.51_Pos	3F8	Pos	404.025458	6.51		C00112	HMDB0001546	6132	Cytidine 5'-diphosphate	C9H15N3O11P2				
2E1._487.100056_5.33_Neg	2E1.	Neg	487.100056	5.33		C00307	HMDB0001413	13804	Cytidine 5'-Diphosphocholine	C14H26N4O11P2				
2E1._489.114608_5.41_Pos	2E1.	Pos	489.114608	5.41		C00307	HMDB0001413	13804	Cytidine 5'-Diphosphocholine	C14H26N4O11P2				
4C8_483.991789_7.29_Pos	4C8	Pos	483.991789	7.29		C00063	HMDB0000082	6176	Cytidine 5'-triphosphate	C9H16N3O14P3				
1B10_110.035986_3.23_Neg	1B10	Neg	110.035986	3.23		C00380	HMDB0000630	597	Cytosine	C4H5N3O				
1B10_112.050538_3.24_Pos	1B10	Pos	112.050538	3.24		C00380	HMDB0000630	597	Cytosine	C4H5N3O				
3B12_184.985664_6.51_Neg	3B12	Neg	184.985664	6.51		C00197	HMDB0060180	724	D-(-)-3-Phosphoglyceric acid	C3H7O7P				
3B12_187.000216_6.58_Pos	3B12	Pos	187.000216	6.58		C00197	HMDB0060180	724	D-(-)-3-Phosphoglyceric acid	C3H7O7P	?			
6G12_149.045547_4.35_Neg	6G12	Neg	149.045547	4.35		C00216	HMDB0029942	66308	D-(-)-Arabinose	C5H10O5		1	HMDB	Identity; KEGG ID; PubChem
6H1_341.108935_5.35_Neg	6H1	Neg	341.108935	5.35		C00185	HMDB0000055	10712	D-(+)-Cellobiose	C12H22O11				
4G6_178.072097_5.69_Neg	4G6	Neg	178.072097	5.69		C02262		2794221	D-(+)-Galactosamine	C6H13NO5				
4G6_180.086649_5.15_Pos	4G6	Pos	180.086649	5.15		C02262		2794221	D-(+)-Galactosamine	C6H13NO5				
4C7_193.035377_5.82_Neg	4C7	Neg	193.035377	5.82		C00333	HMDB0002545	439215	D-(+)-Galacturonic acid	C6H10O7				
4C7_195.049929_3.69_Pos	4C7	Pos	195.049929	3.69		C00333	HMDB0002545	439215	D-(+)-Galacturonic acid	C6H10O7				
2B12_180.086649_4.7_Pos	2B12	Pos	180.086649	4.7		C00329	HMDB0030091	439213	D-(+)-Glucosamine	C6H13NO5				
4B10_503.161759_5.76_Neg	4B10	Neg	503.161759	5.76		C00492	HMDB0003213	439242	D-(+)-Raffinose	C18H32O16				
4B10_505.176311_5.77_Pos	4B10	Pos	505.176311	5.77		C00492	HMDB0003213	439242	D-(+)-Raffinose	C18H32O16				
2A12_341.108936_5.44_Neg	2A12	Neg	341.108936	5.44		C01083	HMDB0000975	7427	D-(+)-Trehalose	C12H22O11				
4D11_88.040403_4.81_Neg	4D11	Neg	88.040403	4.81		C00133	HMDB0001310	71080	D-Alanine	C3H7NO2				
4D11_90.054955_4.85_Pos	4D11	Pos	90.054955	4.85		C00133	HMDB0001310	71080	D-Alanine	C3H7NO2				
1G9_330.060894_4.25_Neg	1G9	Neg	330.060894	4.25		C00360	HMDB0000905	12599	dAMP	C10H14N5O6P				
1G9_332.075446_4.37_Pos	1G9	Pos	332.075446	4.37		C00360	HMDB0000905	12599	dAMP	C10H14N5O6P				
1A11_132.030232_5.31_Neg	1A11	Neg	132.030232	5.31		C00402	HMDB0006483	83887	D-Aspartic acid	C4H7NO4				
1A11_134.044784_5.38_Pos	1A11	Pos	134.044784	5.38		C00402	HMDB0006483	83887	D-Aspartic acid	C4H7NO4				
7G3_171.139053_1.05_Neg	7G3	Neg	171.139053	1.05		C01571	HMDB0000511	4678093	Decanoate	C10H20O2				
_316.248235_1.39_Pos		Pos	316.248235	1.39	1	C03299	HMDB0000651	10245190	Decanoyl-L-Carnitine	C17H33NO4				
_316.248235_2.22_Pos		Pos	316.248235	2.22	1	C03299	HMDB0000651	10245190	Decanoyl-L-Carnitine	C17H33NO4				
3A2_144.103003_4.12_Neg	3A2	Neg	144.103003	4.12		C05543	HMDB0001161	725	Deoxycarnitine	C7H15NO2				
3A2_146.117555_4.11_Pos	3A2	Pos	146.117555	4.11		C05543	HMDB0001161	725	Deoxycarnitine	C7H15NO2				
7C8_357.278807_1.13_Pos	7C8	Pos	357.278807	1.13		C04483	HMDB0000626	222528	Deoxycholate	C24H40O4	2 water loss			
7C8_375.289372_1.13_Pos	7C8	Pos	375.289372	1.13		C04483	HMDB0000626	222528	Deoxycholate	C24H40O4	water loss			
7C8_391.285383_1.13_Neg	7C8	Neg	391.285383	1.13		C04483	HMDB0000626	222528	Deoxycholate	C24H40O4				
7C8_393.299936_1.13_Pos	7C8	Pos	393.299936	1.13		C04483	HMDB0000626	222528	Deoxycholate	C24H40O4				
7F8_371.222783_1.12_Neg	7F8	Neg	371.222783	1.12		C14554	HMDB0000016	5952	Deoxycorticosterone acetate	C23H32O4				
7F8_373.237336_1.08_Pos	7F8	Pos	373.237336	1.08		C14554	HMDB0000016	5952	Deoxycorticosterone acetate	C23H32O4				
2A3_226.08333_2.91_Neg	2A3	Neg	226.08333	2.91		C00881	HMDB0000014	13711	Deoxycytidine	C9H13N3O4				
2A3_228.097882_2.94_Pos	2A3	Pos	228.097882	2.94		C00881	HMDB0000014	13711	Deoxycytidine	C9H13N3O4				
2D2_227.067346_2.07_Neg	2D2	Neg	227.067346	2.07		C00526	HMDB0000012	13712	Deoxyuridine	C9H12N2O5				
2D2_229.081898_2.04_Pos	2D2	Pos	229.081898	2.04		C00526	HMDB0000012	13712	Deoxyuridine	C9H12N2O5				
7F7_385.346493_1.97_Pos	7F7	Pos	385.346493	1.97		C01802	HMDB0002719	439577	Desmosterol	C27H44O				
6A4_213.124466_1.21_Neg	6A4	Neg	213.124466	1.21	1	C01909	HMDB0003581	643	Dethiobiotin	C10H18N2O3				
6A4_213.124466_2.03_Neg	6A4	Neg	213.124466	2.03	1	C01909	HMDB0003581	643	Dethiobiotin	C10H18N2O3				
6A4_215.139019_1.25_Pos	6A4	Pos	215.139019	1.25	1	C01909	HMDB0003581	643	Dethiobiotin	C10H18N2O3				
6A4_215.139019_1.97_Pos	6A4	Pos	215.139019	1.97	1	C01909	HMDB0003581	643	Dethiobiotin	C10H18N2O3				
6F6_179.056111_4.24_Neg	6F6	Neg	179.056111	4.24		C00095	HMDB0000660	2723872	D-Fructose	C6H12O6				
3C7_259.022443_5.8_Neg	3C7	Neg	259.022443	5.8		C00085	HMDB0000124	69507	D-Fructose 6-phosphate	C6H13O9P		1	HMDB; KEGG ID; PubChem	Identity
3C7_261.036995_5.66_Pos	3C7	Pos	261.036995	5.66		C00085	HMDB0000124	69507	D-Fructose 6-phosphate	C6H13O9P		1	HMDB; KEGG ID; PubChem	Identity
Internal Std_345.008901_7.87_Neg	Internal Std	Neg	345.008901	7.87					"D-Fructose-1,6-bisphosphate (13C6)"	[13]C6H14O12P2				
Internal Std_347.023454_7.59_Pos	Internal Std	Pos	347.023454	7.59					"D-Fructose-1,6-bisphosphate (13C6)"	[13]C6H14O12P2				
Internal Std_265.042571_5.8_Neg	Internal Std	Neg	265.042571	5.8	1				D-Fructose-6-phosphate (13C6)	[13]C6H13O9P				
Internal Std_267.057124_5.66_Pos	Internal Std	Pos	267.057124	5.66	1				D-Fructose-6-phosphate (13C6)	[13]C6H13O9P				
6G3_181.070665_1.59_Pos	6G3	Pos	181.070665	1.59					D-Galactose	C6H12O6				
1C7_195.051027_4.79_Neg	1C7	Neg	195.051027	4.79		C00257	HMDB0000625	10690	D-Gluconic acid	C6H12O7		1	HMDB; KEGG ID; PubChem	Identity
2H12_197.065579_2.63_Pos	2H12	Pos	197.065579	2.63		C00257	HMDB0000625	10690	D-Gluconic acid	C6H12O7		1	HMDB; KEGG ID; PubChem	Identity
2A5_258.038428_6_Neg	2A5	Neg	258.038428	6		C00352	HMDB0001254	440997	D-Glucosamine 6-phosphate	C6H14NO8P				
2A5_260.052979_6.07_Pos	2A5	Pos	260.052979	6.07		C00352	HMDB0001254	440997	D-Glucosamine 6-phosphate	C6H14NO8P				
4H3_258.028911_5.77_Neg	4H3	Neg	258.028911	5.77			HMDB0000592	18634851	D-Glucosamine 6-sulfate	C6H13NO8S				
4H3_260.043463_5.92_Pos	4H3	Pos	260.043463	5.92			HMDB0000592	18634851	D-Glucosamine 6-sulfate	C6H13NO8S				
Internal Std_184.072885_4.79_Neg	Internal Std	Neg	184.072885	4.79					"D-Glucose (2,3,4,5,6-13C5, 99%)"	[13]C5CH12O6				
Internal Std_186.087439_4.76_Pos	Internal Std	Pos	186.087439	4.76					"D-Glucose (2,3,4,5,6-13C5, 99%)"	[13]C5CH12O6				
1H12_259.022443_6.23_Neg	1H12	Neg	259.022443	6.23		C00668	HMDB0001401	439958	D-Glucose-6-phosphate	C6H13O9P				
1H12_261.036995_6.08_Pos	1H12	Pos	261.036995	6.08		C00668	HMDB0001401	439958	D-Glucose-6-phosphate	C6H13O9P				
Internal Std_265.042571_6.23_Neg	Internal Std	Neg	265.042571	6.23	1				D-Glucose-6-phosphate (U-13C6)	[13]C6H13O9P				
Internal Std_267.057124_6.08_Pos	Internal Std	Pos	267.057124	6.08	1				D-Glucose-6-phosphate (U-13C6)	[13]C6H13O9P				
2C12_193.035377_5.62_Neg	2C12	Neg	193.035377	5.62		C00191	HMDB0000127	94715	D-Glucuronic acid	C6H10O7				
2B7_175.024812_3.05_Neg	2B7	Neg	175.024812	3.05		C02670	HMDB0006355	92283	D-Glucuronolactone	C6H8O6				
6G11_177.040461_3.92_Neg	6G11	Neg	177.040461	3.92			HMDB0003290	6857417	D-Gulonic acid gama-lactone	C6H10O6				
6B4_85.029503_1.1_Neg	6B4	Neg	85.029503	1.1		C00741	HMDB0003407	650	Diacetyl	C4H6O2				
6B4_87.044056_1.1_Pos	6B4	Pos	87.044056	1.1		C00741	HMDB0003407	650	Diacetyl	C4H6O2				
1H3_106.086255_5.8_Pos	1H3	Pos	106.086255	5.8		C06772	HMDB0004437	8113	Diethanolamine	C4H11NO2				
7E7._201.076847_1.13_Neg	7E7.	Neg	201.076847	1.13		C04067	HMDB0032306	97750	Diethyl 2-Methyl-3-Oxosuccinate	C9H14O5				
7E7._203.0914_1.16_Pos	7E7.	Pos	203.0914	1.16		C04067	HMDB0032306	97750	Diethyl 2-Methyl-3-Oxosuccinate	C9H14O5				
_305.248604_0.97_Neg		Neg	305.248604	0.97		C03242	HMDB0002925	5280581	Dihomo-gamma-Linolenic acid	C20H34O2				
Cleveland's std_168.990748_5.42_Neg	Cleveland's std	Neg	168.990748	5.42		C00111	HMDB0001473	668	Dihydroxyacetone phosphate	C3H7O6P				
5H7_183.029897_4.73_Neg	5H7	Neg	183.029897	4.73		C05580	HMDB0001866	85782	Dihydroxymandelic acid	C8H8O5				
7D11_145.077122_1.56_Neg	7D11	Neg	145.077122	1.56		C03114	HMDB0003701	675	Dimethylbenzimidazole	C9H10N2		1	KEGG ID	Formula; HMDB; Identity; PubChem
7D11_147.091675_1.43_Pos	7D11	Pos	147.091675	1.43		C03114	HMDB0003701	675	Dimethylbenzimidazole	C9H10N2		1	KEGG ID	Formula; HMDB; Identity; PubChem
4F2_103.051302_7.71_Neg	4F2	Neg	103.051302	7.71		C03401	HMDB0002006	108638	"DL-2,3-Diaminopropionic acid"	C3H8N2O2				
4F2_105.065854_7.87_Pos	4F2	Pos	105.065854	7.87		C03401	HMDB0002006	108638	"DL-2,3-Diaminopropionic acid"	C3H8N2O2				
2C11_910.150193_5.71_Neg	2C11	Neg	910.150193	5.71		C00356		117058607	DL-3-Hydroxy-3-Methylglutaryl Coenzyme A	C27H44N7O20P3S				
